R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
1  2,Victor Wembanyama,C,SA,42,33.1,24.6,10.9,3.6,1.1,3.9,3.4,12.53
2  1,Nikola Jokic,C,DEN,45,36.3,29.7,12.8,10.3,1.8,0.7,3.1,11.61
3  1,Anthony Davis,"PF,C",DAL,42,34.3,25.7,11.9,3.4,1.3,2.1,2.2,9.5
4  54,Giannis Antetokounmpo,"PF,C",MIL,41,34.9,31.8,12.2,5.9,0.8,1.3,3.4,8.48
5  3,Shai Gilgeous-Alexander,"PG,SG",OKC,48,34.1,32.8,5.3,6,2,1,2.7,8.1
6,Luka Doncic,"PG,SG",LAL,22,35.7,28.1,8.3,7.8,2,0.4,3.4,7.93
7  18,Jalen Johnson,"SF,PF",ATL,36,35.7,18.9,10,5,1.6,1,2.9,6.46
8  14,Chet Holmgren,"PF,C",OKC,10,26.5,16.4,8.7,2,0.8,2.6,2.3,6.2
9  35,Dyson Daniels,"PG,SG,SF",ATL,46,33.8,13.8,5.4,3.8,3,0.8,1.9,6.18
10  5,Karl-Anthony Towns,"PF,C",NY,46,34.7,24.3,13.6,3.3,1,0.8,2.5,6.09
11  30,Scottie Barnes,"PG,SG,SF,PF",TOR,38,34.5,19.9,7.8,6.4,1.4,1,3,6.01
12  4,Cade Cunningham,"PG,SG",DET,47,35.7,25.6,6.3,9.5,1,0.7,4.4,5.88
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
13  49,Alperen Sengün,C,HOU,47,31.4,19.2,10.6,5,1.3,0.8,2.4,5.75
14  3,Jayson Tatum,"SF,PF",BOS,48,36.5,26.8,8.8,5.7,1.3,0.5,2.8,5.69
15  91,Zion Williamson,"PF,C",NO,15,28.4,23.3,7.9,4.9,1.2,1.1,3.1,5.52
16  6,Domantas Sabonis,C,SAC,47,36.1,20.6,14.3,6.4,0.6,0.4,3,5.48
17  37,Dejounte Murray,"PG,SG",NO,31,32.6,17.5,6.5,7.4,2,0.4,3.4,5.46
18  3,LeBron James,"SF,PF",LAL,45,34.6,24.1,7.6,9.1,0.9,0.5,3.8,5.44
19  33,Walker Kessler,C,UTA,39,30,11,11.6,1.5,0.5,2.4,1.5,5.38
20  8,James Harden,"PG,SG",LAC,47,33.8,21.3,5.7,8.4,1.5,0.6,4.5,5.28
21  12,Tyrese Maxey,"PG,SG",PHI,43,38,27.9,3.4,6.2,1.9,0.4,2.4,5.19
22  1,Jaren Jackson Jr.,"PF,C",MEM,49,29.6,23.4,6.1,2.2,1.3,1.6,2.2,5.06
23  13,Jalen Williams,"SG,SF,PF,C",OKC,46,32.6,21,5.5,5.1,1.8,0.7,2.2,4.98
24  45,Bam Adebayo,"PF,C",MIA,48,33.9,16.4,10,4.6,1.3,0.8,2.3,4.92
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
25  4,LaMelo Ball,"PG,SG",CHA,31,33.3,28.2,5.3,7.3,1.4,0.3,3.7,4.84
26  42,Isaiah Hartenstein,C,OKC,29,29.3,11.3,12.1,4.3,0.8,1.2,1.9,4.8
27  18,Jakob Poeltl,C,TOR,45,30.9,14.2,10.1,2.8,1.2,1.3,1.9,4.77
28  1,Trae Young,PG,ATL,47,36.1,23.2,3.2,11.5,1.3,0.2,4.7,4.75
29  3,Josh Hart,"SG,SF,PF",NY,50,37.6,14.3,9.7,5.8,1.5,0.4,1.9,4.74
30  22,Kevin Durant,"SF,PF",PHO,39,36.2,26.9,6.1,4.2,0.8,1.3,3,4.58
31  3,Tyrese Haliburton,"PG,SG",IND,48,34,17.9,3.6,8.5,1.3,0.7,1.8,4.58
32  1,Evan Mobley,"PF,C",CLE,45,30,18.3,9,2.9,0.8,1.5,1.9,4.57
33  1,De'Aaron Fox,PG,SA,46,37,25,5,6.3,1.5,0.4,2.9,4.42
34  20,Joel Embiid,C,PHI,14,29.9,24.7,8.1,4.3,0.9,0.9,3.3,4.29
35  30,Amen Thompson,"SG,SF,PF",HOU,47,31.3,13.7,8.1,3.1,1.4,1.2,2,4.24
36  24,Ivica Zubac,C,LAC,48,31.9,15.1,12.6,2.5,0.7,1.1,1.7,4.21
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
37  16,Nikola Vucevic,"PF,C",CHI,51,32.2,19.5,10.4,3.5,0.9,0.7,1.6,4.03
38  8,Kristaps Porzingis,"PF,C",BOS,26,28.6,19.2,7.1,2.1,0.8,1.6,1,4.03
39  21,Anthony Edwards,"SG,SF",MIN,50,36.7,26.9,5.8,4.5,1.2,0.7,3.4,3.97
40  16,Franz Wagner,"SF,PF",ORL,32,32.9,25.1,5.4,5.1,1.4,0.4,2.3,3.91
41  34,Damian Lillard,PG,MIL,41,36.3,25.1,4.5,7.4,1.2,0.2,2.8,3.71
42  35,Rudy Gobert,C,MIN,51,33.3,10.7,10.4,1.9,0.7,1.6,1.3,3.68
43  5,Jamal Murray,"PG,SG",DEN,45,36,20.2,4,6.1,1.4,0.6,2.2,3.67
44  6,Mark Williams,C,LAL,23,25,15.6,9.6,2.5,0.7,1.2,1,3.53
45  28,Devin Booker,"PG,SG",PHO,45,36.9,26,4,6.6,1.1,0.3,2.7,3.27
46  9,Myles Turner,C,IND,45,31.1,15.4,6.7,1.6,0.8,1.8,2,3.24
47  10,Ja Morant,PG,MEM,30,28.4,20.7,4.2,7.5,1.3,0.3,3.9,3.14
48  39,P.J. Washington,"SF,PF",DAL,42,32.9,14.4,8.3,2.3,1.2,1,1.9,3.11
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
49  36,Trey Murphy III,"SF,PF",NO,35,35.3,22.7,5,3.2,1.2,0.8,1.6,3.11
50  31,Stephen Curry,"PG,SG",GS,41,31.8,22.4,4.4,6.2,1.1,0.5,2.9,3.1
51  205,Paolo Banchero,"SF,PF",ORL,18,33.6,22.6,7.1,5,0.7,0.7,3.2,3.07
52  14,Paul George,"SG,SF,PF",PHI,31,32,16.9,5.5,4.6,1.7,0.4,2.7,3.04
53  31,Goga Bitadze,C,ORL,41,24,9.3,8.2,2.3,0.8,1.6,1.4,3.01
54  34,Kyrie Irving,"PG,SG",DAL,40,36.1,24.5,4.8,4.8,1.2,0.4,2.3,2.99
55  34,Josh Giddey,"PG,SG,SF",CHI,48,28.8,12.1,7.3,6.6,1.1,0.5,2.8,2.99
56  30,Jaylen Brown,"SG,SF",BOS,44,35.4,23.1,6.1,4.8,1.2,0.3,2.6,2.97
57  52,Russell Westbrook,"PG,SG",DEN,48,27.7,13,5.1,6.4,1.5,0.5,3,2.97
58  11,Jarrett Allen,C,CLE,51,29,13.6,10.3,2,0.9,0.9,1.1,2.96
59  25,John Collins,"PF,C",UTA,32,29.9,18.2,8.2,2.3,1,1,2.7,2.96
60  63,Draymond Green,"PF,C",GS,36,28,8.3,6,5.6,1.1,1.1,2.5,2.9
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
61  21,Fred VanVleet,PG,HOU,45,35.5,14.6,3.9,5.8,1.6,0.4,1.6,2.8
62  25,Donovan Mitchell,"PG,SG",CLE,48,31.2,23.8,4.4,4.7,1.4,0.2,2,2.73
63  24,Jalen Brunson,PG,NY,50,35.3,26.1,2.9,7.5,1,0.1,2.4,2.71
64  24,Desmond Bane,"SG,SF",MEM,40,30.1,17.9,5.7,5.5,1.2,0.4,2.5,2.69
65  16,Derrick White,"PG,SG",BOS,48,33.8,16.2,4.2,4.2,0.9,1.2,1.6,2.66
